Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
de Montchalin;də mɔ̃tʃalɛ̃
Yannick Neuder;iɑ̃nikk nœde
Neuder;nœde
Alexandra Martin (Alpes-Maritimes);alɛxɑ̃dra martɛ̃ (alpəmaritim)
Martin (Alpes-Maritimes);martɛ̃ (alpəmaritim)
Jean-Claude Anglars;ʒəɑ̃klod ɑ̃ɡlar
Anglars;ɑ̃ɡlar
Sabine Drexler;sabinə drɛxle
Drexler;drɛxle
Anne-Laure Blin;ɑ̃nəlorə blɛ̃
Blin;blɛ̃
Joël Guerriau;ʒɔɛl ɡyɛrrio
Guerriau;ɡyɛrrio
Franck Menonville;frɑ̃kk mɛnɔ̃vij
Menonville;mənɔ̃vij
Christophe-André Frassa;ʃristɔfəɑ̃dre frasa
Frassa;frasa
Thomas Mesnier;tɔma mɛsní
Mesnier;mɛsní
Jacques Le Nay;ʒakk lə nɛ
Le Nay;lə nɛ
Georges Naturel;ʒɔrʒə natyrɛl
Naturel;natyrɛl
Jean-Marie Janssens;ʒəɑ̃mari ʒɑ̃sɑ̃
Janssens;ʒɑ̃sɑ̃
Esther Benbassa;ɛste bɑ̃basa
Benbassa;bɑ̃basa
Sabine Thillaye;sabinə tilɛ
Thillaye;tilɛ
Isabelle Briquet;izabələ brikɛt
Briquet;brikɛt
Kévin Mauvieux;kevɛ̃ movjœ
Mauvieux;movjœ
Marianne Margaté;mariɑ̃nə marɡate
Margaté;marɡate
Frédéric Falcon;frederik falkɔ̃
Falcon;falkɔ̃
Vincent Ledoux;vɛ̃kɛn lɛdu
Ledoux;lədu
Joël Giraud;ʒɔɛl ʒiro
Giraud;ʒiro
Marine Hamelet;marin aməlɛt
Hamelet;aməlɛt
Guy Bricout;ɡyi briku
Bricout;briku
Boris Vallaud;bɔri valo
Vallaud;valo
Maxime Laisney;maximə lɛsnɛ
Laisney;lɛsnɛ
Joëlle Mélin;ʒɔɛlə melɛ̃
Mélin;melɛ̃
Yannick Vaugrenard;iɑ̃nikk voɡrɛnar
Vaugrenard;voɡrɛnar
Marianne Maximi;mariɑ̃nə maximi
Maximi;maximi
Gilbert Bouchet;ʒilbɛr buʃɛt
Bouchet;buʃɛt
Maxime Minot;maximə minɔ
Minot;minɔ
Monique Iborra;mɔnik ibɔrra
Iborra;ibɔrra
Sébastien Lecornu;sebastjɑ̃ lɛkɔrny
Lecornu;ləkɔrny
Nathalie Da Conceicao Carvalho;natali da kɔ̃sɛkaɔ karvalɔ
Da Conceicao Carvalho;da kɔ̃sɛkaɔ karvalɔ
Mickaël Vallet;mikkaə̈l valɛt
Vallet;valɛt
Véronique Riotton;verɔnikə riɔtɔ̃
Riotton;riɔtɔ̃
Annie Delmont-Koropoulis;ɑ̃ni dɛlmɔ̃tkɔrɔpuli
Delmont-Koropoulis;dɛlmɔ̃tkɔrɔpuli
Pierre Morel-À-L'Huissier;piɛrrə mɔrɛlal'ɥisí
Morel-À-L'Huissier;mɔrɛlal'ɥisí
Rima Abdul-Malak;rima abdylmalak
Abdul-Malak;abdylmalak
Pierre Cuypers;piɛrrə kɥipɛr
Cuypers;kɥipɛr
Christian Girard;ʃristjɑ̃ ʒirar
Girard;ʒirar
Daniel Salmon;daniɛl salmɔ̃
Salmon;salmɔ̃
Alexandra Martin (Gironde);alɛxɑ̃dra martɛ̃ (ʒirɔ̃də)
Martin (Gironde);martɛ̃ (ʒirɔ̃də)
Cyril Pellevat;siril pəlɛva
Pellevat;pəlɛva
Thierry Meignen;tiɛrri mɛɲɑ̃
Meignen;mɛɲɑ̃
Xavier Albertini;ksaví albɛrtini
Albertini;albɛrtini
Clémence Guetté;klemɑ̃sə ɡyɛte
Guetté;ɡyɛte
Pierre Henriet;piɛrr ɑ̃riɛt
Henriet;ɑ̃riɛt
Joël Bigot;ʒɔɛl biɡɔ
Bigot;biɡɔ
Pap Ndiaye;pa ndiɛ
Ndiaye;ndiɛ
Xavier Batut;ksaví baty
Batut;baty
Aurélien Saintoul;oreliɑ̃ sɛ̃tul
Saintoul;sɛ̃tul
David Assouline;davi asulin
Assouline;asulin
Johnny Hajjar;ʒɔni aʒʒar
Hajjar;aʒʒar
Michelle Meunier;miʃɛlə mœní
Meunier;mœní
Didier Rambaud;didí rɑ̃bo
Rambaud;rɑ̃bo
Nicolas Turquois;nikɔla tyrkwa
Turquois;tyrkwa
Andrée Taurinya;ɑ̃dre torinia
Taurinya;torinia
Damien Abad;damiɑ̃ aba
Abad;aba
Alexis Izard;alɛxi izar
Izard;izar
Marie-Claude Lermytte;mariklodə lɛrmit
Lermytte;lɛrmit
Anne Chain-Larché;ɑ̃nə ʃɛ̃larʃe
Chain-Larché;ʃɛ̃larʃe
Eléonore Caroit;əleɔnɔrə karwat
Caroit;karwat
Émilie Bonnivard;emili bɔ̃nivar
Bonnivard;bɔ̃nivar
Grégoire de Fournas;ɡreɡwarə də furna
de Fournas;də furna
Frédérique Espagnac;frederik ɛspaɲak
Espagnac;ɛspaɲak
Christophe Plassard;ʃristɔfə plasar
Plassard;plasar
Romain Daubié;rɔmɛ̃ dobí
Daubié;dobí
Arnaud Le Gall;arno lə ɡal
Le Gall;lə ɡal
Mathilde Ollivier;matild ɔliví
Ollivier;ɔliví
Olivier Cigolotti;ɔliví siɡɔlɔti
Cigolotti;siɡɔlɔti
Bertrand Sorre;bɛrtrɑ̃d sɔrr
Sorre;sɔrr
François Ruffin;frɑ̃swa ryfɛ̃
Ruffin;ryfɛ̃
Barbara Pompili;barbara pɔ̃pili
Pompili;pɔ̃pili
Éric Gold;erik ɡɔld
Gold;ɡɔld
Gisèle Jourda;ʒizɛlə ʒurda
Jourda;ʒurda
Géraldine Bannier;ʒeraldinə bɑ̃ní
Bannier;bɑ̃ní
Gérard Leseul;ʒerar lɛzœl
Leseul;ləzœl
Laurence Cristol;lorɑ̃sə kristɔl
Cristol;kristɔl
André Vallini;ɑ̃dre valini
Vallini;valini
Bruno Fuchs;brynɔ fyʃ
Fuchs;fyʃ
Sabrina Sebaihi;sabrina sɛbɛi
Sebaihi;səbɛi
Paul Midy;pol midi
Midy;midi
Anne Brugnera;ɑ̃nə bryɲɛra
Brugnera;bryɲɛra
Olivier Dussopt;ɔliví dysɔp
Dussopt;dysɔp
Andy Kerbrat;ɑ̃di kɛrbra
Kerbrat;kɛrbra
Julien Bayou;ʒyliɑ̃ bɛu
Bayou;bɛu
Francis Dubois;frɑ̃si dybwa
Dubois;dybwa
Dominique Estrosi Sassone;dɔminik ɛstrɔzi sasɔn
Estrosi Sassone;ɛstrɔzi sasɔn
Valérie Létard;valeri letar
Létard;letar
Thomas Rudigoz;tɔma rydiɡɔz
Rudigoz;rydiɡɔz
Frédéric Zgainski;frederik zɡɛ̃ski
Zgainski;zɡɛ̃ski
Aurore Bergé;orɔrə bɛrʒe
Bergé;bɛrʒe
Jérémie Iordanoff;ʒeremi iɔrdanɔf
Iordanoff;iɔrdanɔf
Sébastien Peytavie;sebastjɑ̃ pɛtavi
Peytavie;pɛtavi
Jérémy Bacchi;ʒeremi bakʃi
Bacchi;bakʃi
Christopher Weissberg;ʃristɔfe wɛsbɛrɡ
Weissberg;wɛsbɛrɡ
Yves Détraigne;yvə detrɛɲ
Détraigne;detrɛɲ
Jérôme Buisson;ʒeromə bɥisɔ̃
Buisson;bɥisɔ̃
Éric Pauget;erik poʒɛt
Pauget;poʒɛt
Bastien Lachaud;bastjɑ̃ laʃo
Lachaud;laʃo
Luc Lamirault;lyk lamirol
Lamirault;lamirol
Marie-Jeanne Bellamy;mariʒəɑ̃nə bɛlami
Bellamy;bəlami
Daniel Fargeot;daniɛl farʒɔ
Fargeot;farʒɔ
Olivier Klein;ɔliví klɛ̃
Klein;klɛ̃
Emeline K/Bidi;əmɛlinə k/bidi
K/Bidi;k/bidi
