Amélie de Montchalin;ameli də mɔ̃tʃalɛ̃
Yannick Neuder;iɑ̃nikk nœde
Alexandra Martin;alɛxɑ̃dra martɛ̃
Jean-Claude Anglars;ʒəɑ̃klod ɑ̃ɡlar
Sabine Drexler;sabinə drɛxle
Anne-Laure Blin;ɑ̃nəlorə blɛ̃
Joël Guerriau;ʒɔɛl ɡyɛrrio
Franck Menonville;frɑ̃kk mɛnɔ̃vij
Christophe-André Frassa;ʃristɔfəɑ̃dre frasa
Thomas Mesnier;tɔma mɛsní
Jacques Le Nay;ʒakk lə nɛ
Georges Naturel;ʒɔrʒə natyrɛl
Jean-Marie Janssens;ʒəɑ̃mari ʒɑ̃sɑ̃
Esther Benbassa;ɛste bɑ̃basa
Sabine Thillaye;sabinə tilɛ
Isabelle Briquet;izabələ brikɛt
Kévin Mauvieux;kevɛ̃ movjœ
Marianne Margaté;mariɑ̃nə marɡate
Frédéric Falcon;frederik falkɔ̃
Vincent Ledoux;vɛ̃kɛn lɛdu
Joël Giraud;ʒɔɛl ʒiro
Marine Hamelet;marin aməlɛt
Guy Bricout;ɡyi briku
Boris Vallaud;bɔri valo
Maxime Laisney;maximə lɛsnɛ
Joëlle Mélin;ʒɔɛlə melɛ̃
Yannick Vaugrenard;iɑ̃nikk voɡrɛnar
Marianne Maximi;mariɑ̃nə maximi
Gilbert Bouchet;ʒilbɛr buʃɛt
Maxime Minot;maximə minɔ
Monique Iborra;mɔnik ibɔrra
Sébastien Lecornu;sebastjɑ̃ lɛkɔrny
Nathalie Da Conceicao Carvalho;natali da kɔ̃sɛkaɔ karvalɔ
Mickaël Vallet;mikkaə̈l valɛt
Véronique Riotton;verɔnikə riɔtɔ̃
Annie Delmont-Koropoulis;ɑ̃ni dɛlmɔ̃tkɔrɔpuli
Pierre Morel-À-L'Huissier;piɛrrə mɔrɛlal'ɥisí
Rima Abdul-Malak;rima abdylmalak
Pierre Cuypers;piɛrrə kɥipɛr
Christian Girard;ʃristjɑ̃ ʒirar
Daniel Salmon;daniɛl salmɔ̃
Cyril Pellevat;siril pəlɛva
Thierry Meignen;tiɛrri mɛɲɑ̃
Xavier Albertini;ksaví albɛrtini
Clémence Guetté;klemɑ̃sə ɡyɛte
Pierre Henriet;piɛrr ɑ̃riɛt
Joël Bigot;ʒɔɛl biɡɔ
Pap Ndiaye;pa ndiɛ
Xavier Batut;ksaví baty
Aurélien Saintoul;oreliɑ̃ sɛ̃tul
David Assouline;davi asulin
Johnny Hajjar;ʒɔni aʒʒar
Michelle Meunier;miʃɛlə mœní
Didier Rambaud;didí rɑ̃bo
Nicolas Turquois;nikɔla tyrkwa
Andrée Taurinya;ɑ̃dre torinia
Damien Abad;damiɑ̃ aba
Alexis Izard;alɛxi izar
Marie-Claude Lermytte;mariklodə lɛrmit
Anne Chain-Larché;ɑ̃nə ʃɛ̃larʃe
Eléonore Caroit;əleɔnɔrə karwat
Émilie Bonnivard;emili bɔ̃nivar
Grégoire de Fournas;ɡreɡwarə də furna
Frédérique Espagnac;frederik ɛspaɲak
Christophe Plassard;ʃristɔfə plasar
Romain Daubié;rɔmɛ̃ dobí
Arnaud Le Gall;arno lə ɡal
Mathilde Ollivier;matild ɔliví
Olivier Cigolotti;ɔliví siɡɔlɔti
Bertrand Sorre;bɛrtrɑ̃d sɔrr
François Ruffin;frɑ̃swa ryfɛ̃
Barbara Pompili;barbara pɔ̃pili
Éric Gold;erik ɡɔld
Gisèle Jourda;ʒizɛlə ʒurda
Géraldine Bannier;ʒeraldinə bɑ̃ní
Gérard Leseul;ʒerar lɛzœl
Laurence Cristol;lorɑ̃sə kristɔl
André Vallini;ɑ̃dre valini
Bruno Fuchs;brynɔ fyʃ
Sabrina Sebaihi;sabrina sɛbɛi
Paul Midy;pol midi
Anne Brugnera;ɑ̃nə bryɲɛra
Olivier Dussopt;ɔliví dysɔp
Andy Kerbrat;ɑ̃di kɛrbra
Julien Bayou;ʒyliɑ̃ bɛu
Francis Dubois;frɑ̃si dybwa
Dominique Estrosi Sassone;dɔminik ɛstrɔzi sasɔn
Valérie Létard;valeri letar
Thomas Rudigoz;tɔma rydiɡɔz
Frédéric Zgainski;frederik zɡɛ̃ski
Aurore Bergé;orɔrə bɛrʒe
Jérémie Iordanoff;ʒeremi iɔrdanɔf
